word,part_of_speech,meaning,example
nhà băng,danh từ,(cũ) ngân hàng: gửi tiền vào nhà băng,gửi tiền vào nhà băng
nhà băng,danh từ,"(cũ, văn chương) băng nhân: ""Trước thầy sau tớ lao xao, Nhà băng đưa mối, rước vào lầu trang."" (TKiều)","""Trước thầy sau tớ lao xao, Nhà băng đưa mối, rước vào lầu trang."" (TKiều)"
nhà bếp,danh từ,nhà dùng làm nơi nấu ăn: dụng cụ nhà bếp,dụng cụ nhà bếp
nhà binh,danh từ,(cũ) quân đội: kỉ luật nhà binh * chào theo kiểu nhà binh,kỉ luật nhà binh * chào theo kiểu nhà binh
nhà cửa,danh từ,nhà ở (nói khái quát): nhà cửa sạch sẽ * nhà cửa mọc lên san sát,nhà cửa sạch sẽ * nhà cửa mọc lên san sát
nhà chùa,danh từ,nơi thờ Phật hoặc những người tu hành theo đạo Phật (nói khái quát): mặc áo nhà chùa,mặc áo nhà chùa
nhà gái,danh từ,"những người phía gia đình cô dâu ở một đám cưới, đám hỏi, trong quan hệ với nhà trai (nói tổng quát): đến nhà gái đón dâu",đến nhà gái đón dâu
nhà đất,danh từ,nhà ở và đất đai (nói khái quát): quản lí nhà đất * kinh doanh nhà đất,quản lí nhà đất * kinh doanh nhà đất
nhà giam,danh từ,nơi giam giữ những người bị bắt: bị tống vào nhà giam,bị tống vào nhà giam
nhà giáo,danh từ,(trang trọng) người làm nghề dạy học: một nhà giáo có tên tuổi,một nhà giáo có tên tuổi
nhà hát,danh từ,nhà lớn chuyên dùng làm nơi trình diễn các tiết mục nghệ thuật sân khấu cho công chúng xem: nhà hát thành phố,nhà hát thành phố
nhà hát,danh từ,đơn vị hành chính của ngành sân khấu: nhà hát cải lương * nhà hát kịch trung ương,nhà hát cải lương * nhà hát kịch trung ương
nhà hàng,danh từ,(Từ cũ) cửa hiệu: nhà hàng thuốc bắc,nhà hàng thuốc bắc
nhà hàng,danh từ,"cửa hàng, cửa hiệu ăn uống (thường là lớn): nhà hàng đặc sản * đi ăn ở nhà hàng",nhà hàng đặc sản * đi ăn ở nhà hàng
nhà hàng,danh từ,"(Khẩu ngữ) tất cả những người làm việc trong cửa hàng, cửa hiệu (nói khái quát): nhà hàng chiều khách",nhà hàng chiều khách
nhà huyên,danh từ,"(cũ, văn chương) như huyên đường: “Thưa nhà huyên hết mọi tình, Nỗi chàng ở bạc, nỗi mình chịu đen.” (TKiều)","“Thưa nhà huyên hết mọi tình, Nỗi chàng ở bạc, nỗi mình chịu đen.” (TKiều)"
nhà khách,danh từ,nhà của cơ quan hoặc tổ chức dùng riêng để tiếp khách hoặc để cho khách lưu trú khi đến công tác: nhà khách bộ quốc phòng * nhà khách Chính phủ,nhà khách bộ quốc phòng * nhà khách Chính phủ
nha khoa,danh từ,khoa chữa các bệnh về răng: bác sĩ nha khoa * phòng khám nha khoa,bác sĩ nha khoa * phòng khám nha khoa
nhà kho,danh từ,nhà chuyên dùng để làm kho: hàng đã chuyển xuống nhà kho,hàng đã chuyển xuống nhà kho
nhà kính,danh từ,nhà kín bằng kính để trồng một số cây ở vùng giá lạnh hoặc về mùa đông: rau trồng trong nhà kính,rau trồng trong nhà kính
nhà lao,danh từ,như nhà tù: ngồi trong nhà lao,ngồi trong nhà lao
nhà máy,danh từ,"cơ sở sản xuất công nghiệp, sử dụng máy móc hiện đại và dùng một nguồn năng lượng tương đối lớn: nhà máy đường * nhà máy dệt * làm việc ở nhà máy",nhà máy đường * nhà máy dệt * làm việc ở nhà máy
nhà lầu,danh từ,(phương ngữ) nhà tầng: xây nhà lầu,xây nhà lầu
nha môn,danh từ,(cũ) cửa quan: chốn nha môn,chốn nha môn
nhà may,danh từ,"cửa hiệu, cửa hàng may đo quần áo: mở nhà may * nhà may cao cấp",mở nhà may * nhà may cao cấp
nhà nghề,danh từ,người rất tinh thông một nghề gì (nói khái quát): con nhà nghề * bí quyết nhà nghề * giải quyền Anh nhà nghề,con nhà nghề * bí quyết nhà nghề * giải quyền Anh nhà nghề
nhà ngươi,danh từ,"(cũ) tổ hợp dùng để gọi người dưới quyền (hàm ý coi thường): có việc gì, nhà ngươi cứ nói trẫm nghe","có việc gì, nhà ngươi cứ nói trẫm nghe"
nhà nhà,danh từ,"mọi nhà, không trừ một nhà nào: nhà nhà thi đua yêu nước",nhà nhà thi đua yêu nước
nhà nông,danh từ,người chuyên sống bằng nghề làm ruộng (nói khái quát): một nhà nông chuyên cần * cày sâu cuốc bẫm là nghiệp của nhà nông,một nhà nông chuyên cần * cày sâu cuốc bẫm là nghiệp của nhà nông
nhã nhạc,danh từ,"nhạc dùng trong các buổi lễ trang nghiêm, nơi tôn miếu, triều đình thời phong kiến: nhã nhạc cung đình Huế",nhã nhạc cung đình Huế
nhà nho,danh từ,(cũ) người trí thức nho học thời phong kiến: một nhà nho nệ cổ,một nhà nho nệ cổ
nhà nòi,danh từ,"(khẩu ngữ) gia đình có truyền thống về một nghề hay một lĩnh vực nào đó, có người giỏi, thạo về nghề hay lĩnh vực ấy: một tay vật nhà nòi * con nhà nòi",một tay vật nhà nòi * con nhà nòi
nhà nước,danh từ,"tổ chức, đứng đầu là chính phủ, quản lí công việc chung của một nước: nhà nước Việt Nam * cải cách bộ máy nhà nước",nhà nước Việt Nam * cải cách bộ máy nhà nước
nhà nước,danh từ,phạm vi cả nước: ngân hàng nhà nước * doanh nghiệp nhà nước,ngân hàng nhà nước * doanh nghiệp nhà nước
nhà riêng,danh từ,"chỗ ở riêng và thuộc quyền sở hữu của mỗi gia đình: con cái đều đã lập gia đình, có nhà riêng","con cái đều đã lập gia đình, có nhà riêng"
nhà quê,danh từ,như nông thôn: người nhà quê chất phác * sống ở nhà quê * từ nhà quê ra tỉnh,người nhà quê chất phác * sống ở nhà quê * từ nhà quê ra tỉnh
nhà sách,danh từ,"cửa hàng sách, hiệu sách: mở một nhà sách mới * nhà sách ngoại văn",mở một nhà sách mới * nhà sách ngoại văn
nhà thầu,danh từ,đối tượng dự thầu hoặc đã trúng thầu: có năm nhà thầu tham gia đấu thầu công trình,có năm nhà thầu tham gia đấu thầu công trình
nhà tầng,danh từ,"nhà ở, có từ hai tầng trở lên: xây nhà tầng * ở nhà tầng",xây nhà tầng * ở nhà tầng
nhà thơ,danh từ,người chuyên sáng tác thơ và đã có tác phẩm có giá trị được công nhận: một nhà thơ yêu nước * trở thành nhà thơ nổi tiếng,một nhà thơ yêu nước * trở thành nhà thơ nổi tiếng
nhà thờ,danh từ,nhà dùng để làm nơi thờ phụng tổ tiên: nhà thờ họ,nhà thờ họ
nhà thờ,danh từ,nơi thờ chúa Jesus và để giáo dân đến lễ: đi lễ nhà thờ * nhà thờ Đức Bà * chuông nhà thờ,đi lễ nhà thờ * nhà thờ Đức Bà * chuông nhà thờ
nhà thờ,danh từ,tổ chức nắm quyền hành trong Công giáo: thế lực của nhà thờ,thế lực của nhà thờ
nhà trẻ,danh từ,"cơ sở giáo dục mầm non, nuôi dạy trẻ dưới ba tuổi: bé đi nhà trẻ * nhà trẻ tư thục",bé đi nhà trẻ * nhà trẻ tư thục
nhà trai,danh từ,"những người phía gia đình chú rể trong một đám cưới, đám hỏi, trong quan hệ với nhà gái (nói tổng quát): họ nhà trai",họ nhà trai
nhà trọ,danh từ,"nhà có phòng, giường chuyên cho khách thuê ngủ trọ, thường tiện nghi rất sơ sài: thuê nhà trọ * nhỡ đường, đành ngủ ở nhà trọ","thuê nhà trọ * nhỡ đường, đành ngủ ở nhà trọ"
nhà thuốc,danh từ,"hiệu thuốc, cửa hàng thuốc: nhà thuốc tây y",nhà thuốc tây y
nhà vua,danh từ,(trang trọng) vua (hàm ý yêu mến và quý trọng): vâng mệnh nhà vua,vâng mệnh nhà vua
nhà văn,danh từ,người chuyên sáng tác văn xuôi và đã có tác phẩm có giá trị được công nhận: một nhà văn nổi tiếng * nhà văn nghiệp dư,một nhà văn nổi tiếng * nhà văn nghiệp dư
nhà vườn,danh từ,"nhà có vườn hoặc người chủ có vườn chuyên trồng các loại cây giống, hoa quả: mua trái cây tại nhà vườn * nhà vườn trồng hoa * ông chủ nhà vườn",mua trái cây tại nhà vườn * nhà vườn trồng hoa * ông chủ nhà vườn
nhạc điệu,danh từ,"nhịp trầm bổng của âm thanh trong bản nhạc, bài thơ (nói khái quát): nhạc điệu trầm hùng của bài thơ",nhạc điệu trầm hùng của bài thơ
nhà xưởng,danh từ,"nhà đặt máy móc, thiết bị để sản xuất: xây dựng nhà xưởng",xây dựng nhà xưởng
nhạc hiệu,danh từ,"đoạn nhạc dạo đầu, báo hiệu cho một chương trình phát thanh hoặc truyền hình: nhạc hiệu của chương trình phim truyện",nhạc hiệu của chương trình phim truyện
nhạc kịch,danh từ,loại hình nghệ thuật sân khấu chủ yếu dùng âm nhạc để thể hiện.,vở nhạc kịch hồ thiên nga
nhạc gia,danh từ,"(cũ, trang trọng) cha mẹ vợ: ""Đường trường chẳng quản xa khơi, Đưa tin sang đấy rước mời nhạc gia."" (PCCH)","""Đường trường chẳng quản xa khơi, Đưa tin sang đấy rước mời nhạc gia."" (PCCH)"
nhạc khúc,danh từ,bài nhạc: một nhạc khúc trữ tình,một nhạc khúc trữ tình
nhạc nhẹ,danh từ,"loại nhạc có nội dung phản ánh cuộc sống bình thường, mang nhiều tính chất giải trí, dàn nhạc gọn nhẹ, có thể biểu diễn bất cứ nơi nào: ca sĩ nhạc nhẹ",ca sĩ nhạc nhẹ
nhạc phẩm,danh từ,tác phẩm âm nhạc: nhạc phẩm trữ tình,nhạc phẩm trữ tình
nhạc tính,danh từ,tính chất âm nhạc: câu thơ đầy nhạc tính,câu thơ đầy nhạc tính
nhãi ranh,danh từ,"(khẩu ngữ) trẻ con, ít tuổi, non dạ, chưa hiểu biết gì (hàm ý khinh thường): lũ nhãi ranh!",lũ nhãi ranh!
nhãi con,danh từ,"(khẩu ngữ) trẻ con, còn rất ít tuổi (hàm ý khinh thường): nhãi con mà cũng đòi ti toe",nhãi con mà cũng đòi ti toe
nhãi nhép,danh từ,"(khẩu ngữ) người tầm thường, nhỏ nhoi, đáng khinh (nói khái quát): đồ nhãi nhép!",đồ nhãi nhép!
nhãn hiệu,danh từ,"dấu hiệu riêng của nơi sản xuất, được dán hoặc in trên mặt hàng: nhãn hiệu của sản phẩm * hàng may mặc mang nhãn hiệu Việt Nam",nhãn hiệu của sản phẩm * hàng may mặc mang nhãn hiệu Việt Nam
nhãn mác,danh từ,nhãn và mác dán trên sản phẩm (nói khái quát): nhãn mác hàng hoá * quần áo mang nhãn mác nước ngoài,nhãn mác hàng hoá * quần áo mang nhãn mác nước ngoài
nhãn lực,danh từ,(hiếm) như thị lực: tập trung nhãn lực,tập trung nhãn lực
nhãn lực,danh từ,như nhãn quan: có nhãn lực hơn người,có nhãn lực hơn người
nhãn quan,danh từ,"tầm nhìn, tầm hiểu biết, khả năng nhận thức, xem xét và đánh giá vấn đề: có nhãn quan chính trị",có nhãn quan chính trị
nhan sắc,danh từ,"sắc đẹp, vẻ đẹp của người phụ nữ (nói khái quát): nhan sắc tuyệt trần * người đàn bà có nhan sắc",nhan sắc tuyệt trần * người đàn bà có nhan sắc
nhảy cao,danh từ,môn điền kinh dùng sức của chân bật mạnh người lên cao để vượt qua một xà ngang: vận động viên nhảy cao,vận động viên nhảy cao
nhảy cầu,danh từ,"môn điền kinh nhảy từ trên cao xuống nước, có kết hợp làm động tác nhào lộn: môn nhảy cầu",môn nhảy cầu
nháy mắt,danh từ,(khẩu ngữ) khoảng thời gian rất ngắn (tựa như chỉ bằng một cái nháy mắt): sự việc xảy ra trong nháy mắt,sự việc xảy ra trong nháy mắt
nhân ảnh,danh từ,"(văn chương) hình bóng của con người: ""Cái quay búng sẵn trên trời, Mờ mờ nhân ảnh như người đi đêm."" (CO)","""Cái quay búng sẵn trên trời, Mờ mờ nhân ảnh như người đi đêm."" (CO)"
nhân cách,danh từ,tư cách và phẩm chất con người: người có nhân cách * mất nhân cách,người có nhân cách * mất nhân cách
nhẫn cưới,danh từ,nhẫn nam nữ trao cho nhau khi làm lễ cưới: mua một đôi nhẫn cưới,mua một đôi nhẫn cưới
nhân dạng,danh từ,"những đặc điểm bề ngoài, như dáng người, màu da, vẻ mặt, v.v., để nhận biết một người, phân biệt với những người khác (nói tổng quát): đặc điểm nhân dạng",đặc điểm nhân dạng
nhân công,danh từ,sức lao động của con người được sử dụng vào một công việc nào đó: thuê nhân công * đội ngũ nhân công lành nghề * giá nhân công rẻ mạt,thuê nhân công * đội ngũ nhân công lành nghề * giá nhân công rẻ mạt
nhân dân,danh từ,"đông đảo những người dân, thuộc mọi tầng lớp, đang sống trong một khu vực nào đó (nói tổng quát): nhân dân Việt Nam * quần chúng nhân dân * nhân dân lao động * ý kiến của nhân dân",nhân dân Việt Nam * quần chúng nhân dân * nhân dân lao động * ý kiến của nhân dân
nhân danh,danh từ,tên người: từ điển nhân danh,từ điển nhân danh
nhân đạo,danh từ,"đạo đức thể hiện ở sự thương yêu, quý trọng và bảo vệ con người: một hành vi trái với nhân đạo",một hành vi trái với nhân đạo
nhân điện,danh từ,"năng lượng của cơ thể con người, thường nói về mặt có thể dùng để chữa bệnh: chữa bệnh bằng nhân điện",chữa bệnh bằng nhân điện
nhân gian,danh từ,"(văn chương) cõi đời, nơi loài người đang ở: cõi nhân gian * ""Nước trôi hoa rụng đã yên, Hay đâu địa ngục ở miền nhân gian!"" (TKiều)","cõi nhân gian * ""Nước trôi hoa rụng đã yên, Hay đâu địa ngục ở miền nhân gian!"" (TKiều)"
nhân khẩu,danh từ,"người trong một gia đình, một địa phương, về mặt số lượng: nhà có 5 nhân khẩu * chia ruộng theo nhân khẩu",nhà có 5 nhân khẩu * chia ruộng theo nhân khẩu
nhân loại,danh từ,như loài người: nền văn minh của nhân loại * hạnh phúc của nhân loại,nền văn minh của nhân loại * hạnh phúc của nhân loại
nhân kiệt,danh từ,"(cũ) người tài giỏi, kiệt xuất: địa linh sinh nhân kiệt (đất thiêng sinh người tài giỏi)",địa linh sinh nhân kiệt (đất thiêng sinh người tài giỏi)
nhân mãn,danh từ,"tình trạng dân số quá đông tại một khu vực nào đó, so với điều kiện thiên nhiên: nạn nhân mãn",nạn nhân mãn
nhân lực,danh từ,"sức người, về mặt sử dụng trong lao động sản xuất: nguồn nhân lực * đào tạo nhân lực * tập trung toàn bộ nhân lực cho công việc",nguồn nhân lực * đào tạo nhân lực * tập trung toàn bộ nhân lực cho công việc
nhân mạng,danh từ,tính mạng con người: tổn thất về nhân mạng * chiến tranh đã cướp đi rất nhiều nhân mạng,tổn thất về nhân mạng * chiến tranh đã cướp đi rất nhiều nhân mạng
nhân ngãi,danh từ,"(cũ, hoặc ph)","già nhân ngãi, non vợ chồng (tng)"
nhân phẩm,danh từ,phẩm chất và giá trị con người: phục hồi nhân phẩm * mất nhân phẩm,phục hồi nhân phẩm * mất nhân phẩm
nhân sâm,danh từ,"cây nhỏ, rễ củ có hình người, dùng làm thuốc bổ: củ nhân sâm",củ nhân sâm
nhân quả,danh từ,nguyên nhân và kết quả (nói khái quát): mối quan hệ nhân quả,mối quan hệ nhân quả
nhân quả,danh từ,"nguyên nhân có từ kiếp trước tạo ra kết quả ở kiếp sau, và ngược lại kết quả ở kiếp sau là do nguyên nhân từ kiếp trước, theo quan niệm của đạo Phật: thuyết nhân quả",thuyết nhân quả
nhân tài,danh từ,người có tài năng và trí tuệ hơn hẳn mọi người: phát hiện nhân tài * bồi dưỡng nhân tài,phát hiện nhân tài * bồi dưỡng nhân tài
nhân tâm,danh từ,"lòng người, tình cảm của số đông người đối với những sự việc, những vấn đề chung nào đó: thu phục nhân tâm",thu phục nhân tâm
nhận thức,danh từ,"kết quả của quá trình phản ánh và tái hiện hiện thực vào trong tư duy; kết quả con người nhận biết, hiểu biết thế giới khách quan: nâng cao nhận thức * có nhận thức đúng đắn",nâng cao nhận thức * có nhận thức đúng đắn
nhân thế,danh từ,nhân tình thế thái (nói tắt): nỗi sầu nhân thế,nỗi sầu nhân thế
nhân thân,danh từ,"tổng hợp các đặc điểm về thân thế, cuộc sống và tính cách của một con người, về mặt thi hành pháp luật: tìm hiểu nhân thân người bị hại * nhân thân không rõ ràng",tìm hiểu nhân thân người bị hại * nhân thân không rõ ràng
nhân tình,danh từ,"người có quan hệ yêu đương không chính đáng với người khác, trong quan hệ với người ấy: có nhân tình * bỏ nhà theo nhân tình",có nhân tình * bỏ nhà theo nhân tình
nhân tình,danh từ,"(cũ) người yêu: ""Cô nhân tình bé của tôi ơi!, Tôi muốn môi cô chỉ mỉm cười."" (NgBính; 6)","""Cô nhân tình bé của tôi ơi!, Tôi muốn môi cô chỉ mỉm cười."" (NgBính; 6)"
nhân tình,danh từ,"(cũ) tình cảm giữa con người với nhau; tình người (nói khái quát): ""Trước đèn xem truyện Tây minh, Gẫm cười hai chữ nhân tình éo le."" (LVT)","""Trước đèn xem truyện Tây minh, Gẫm cười hai chữ nhân tình éo le."" (LVT)"
nhân thọ,danh từ,tuổi thọ của con người: vấn đề nhân thọ * bảo hiểm nhân thọ,vấn đề nhân thọ * bảo hiểm nhân thọ
nhân tính,danh từ,bản tính tốt đẹp của con người: hành vi vô nhân tính * một kẻ mất hết nhân tính,hành vi vô nhân tính * một kẻ mất hết nhân tính
nhân vật,danh từ,"đối tượng (thường là con người) được miêu tả, thể hiện trong tác phẩm văn học, nghệ thuật: nhân vật chính của vở kịch * xây dựng tính cách nhân vật",nhân vật chính của vở kịch * xây dựng tính cách nhân vật
nhân vật,danh từ,"người có tiếng tăm, có một vai trò nhất định trong xã hội: một nhân vật quan trọng",một nhân vật quan trọng
nhân viên,danh từ,"người làm việc trong một cơ quan, tổ chức, trong quan hệ với thủ trưởng, lãnh đạo của cơ quan, tổ chức đó: nhân viên kế toán * quan hệ giữa giám đốc và nhân viên",nhân viên kế toán * quan hệ giữa giám đốc và nhân viên
nhân viên,danh từ,ngạch cán bộ cấp thấp nhất: nhân viên đánh máy bậc 2,nhân viên đánh máy bậc 2
nhận xét,danh từ,"lời, điều nhận xét: nêu một vài nhận xét * ghi nhận xét vào học bạ",nêu một vài nhận xét * ghi nhận xét vào học bạ
nhập siêu,danh từ,tình trạng kim ngạch nhập khẩu lớn hơn kim ngạch xuất khẩu trong cán cân thương mại của một nước; phân biệt với xuất siêu: tỉ lệ nhập siêu cao * hạn chế nhập siêu,tỉ lệ nhập siêu cao * hạn chế nhập siêu
nhật báo,danh từ,báo ra hằng ngày (chỉ nói báo viết): tờ nhật báo,tờ nhật báo
nhất phẩm,danh từ,(cũ) phẩm trật cao nhất trong thang cấp bậc quan lại: quan nhất phẩm * nhất phẩm phu nhân,quan nhất phẩm * nhất phẩm phu nhân
nhật thực,danh từ,hiện tượng mắt ta thấy vầng Mặt Trời bị tối đi một phần hoặc hoàn toàn trong một lúc vì bị Mặt Trăng che khuất: hiện tượng nhật thực,hiện tượng nhật thực
nhị cái,danh từ,(cũng nhị) bộ phận sinh sản của hoa: nhuỵ hoa,nhuỵ hoa
nhi đồng,danh từ,"trẻ em ở độ từ bốn, năm đến tám, chín tuổi: tuổi nhi đồng * các cháu nhi đồng",tuổi nhi đồng * các cháu nhi đồng
nhị đực,danh từ,(cũng nhuỵ) bộ phận sinh sản của hoa: nhị hoa,nhị hoa
nhị đực,danh từ,"(cũng nhị đực) bộ phận sinh sản đực của hoa, thường nằm ngoài nhuỵ và trong cánh hoa, mang bao phấn chứa hạt phấn",đàn nhị * kéo nhị
nhi khoa,danh từ,bộ môn y học nghiên cứu phòng và chữa bệnh cho trẻ em: bác sĩ nhi khoa,bác sĩ nhi khoa
nhị phẩm,danh từ,(cũ) phẩm trật thứ hai trong thang cấp bậc quan lại: quan nhị phẩm,quan nhị phẩm
nhiệt đới,danh từ,"đới nằm giữa xích đới và cận nhiệt đới, có khí hậu nóng: miền nhiệt đới * rừng nhiệt đới * khí hậu nhiệt đới",miền nhiệt đới * rừng nhiệt đới * khí hậu nhiệt đới
nhiệt tâm,danh từ,"lòng nhiệt tình, sốt sắng đối với công việc chung, sự nghiệp chung: nhiệt tâm nghề nghiệp * có nhiệt tâm với sự nghiệp giáo dục",nhiệt tâm nghề nghiệp * có nhiệt tâm với sự nghiệp giáo dục
nhịp điệu,danh từ,"sự lặp lại một cách tuần hoàn các âm mạnh và nhẹ theo những trật tự, cách thức nhất định: bài thơ có nhịp điệu hào hùng",bài thơ có nhịp điệu hào hùng
nhịp điệu,danh từ,(hiếm) như nhịp độ (ng2): nhịp điệu sản xuất * nhịp điệu làm việc hối hả,nhịp điệu sản xuất * nhịp điệu làm việc hối hả
nho gia,danh từ,"(cũ) nhà nho có tên tuổi: ""Một trai con thứ rốt lòng, Vương Quan là chữ, nối dòng nho gia."" (TKiều)","""Một trai con thứ rốt lòng, Vương Quan là chữ, nối dòng nho gia."" (TKiều)"
nho giáo,danh từ,"hệ thống các nguyên tắc đạo đức, chính trị do Khổng Tử sáng lập, nhằm duy trì trật tự của xã hội phong kiến: hệ tư tưởng nho giáo",hệ tư tưởng nho giáo
nho học,danh từ,nền học vấn theo nho giáo: xuất thân nho học,xuất thân nho học
nhọ nồi,danh từ,"bụi đen bám ở phía ngoài nồi, chảo, v.v. do đun nấu: mặt bị dính nhọ nồi",mặt bị dính nhọ nồi
nhóc con,danh từ,(khẩu ngữ) như nhóc (hàm ý coi thường): thằng nhóc con! * nhóc con mà dám lên mặt!,thằng nhóc con! * nhóc con mà dám lên mặt!
nhu cầu,danh từ,"điều đòi hỏi của đời sống, tự nhiên và xã hội: nhu cầu về ăn mặc * thoả mãn nhu cầu * không đáp ứng được nhu cầu của thị trường",nhu cầu về ăn mặc * thoả mãn nhu cầu * không đáp ứng được nhu cầu của thị trường
nhũ tương,danh từ,hệ những hạt nhỏ chất lỏng lơ lửng trong một chất lỏng khác: sữa là một nhũ tương,sữa là một nhũ tương
nhuận bút,danh từ,"tiền trả cho tác giả có công trình văn hoá, nghệ thuật, khoa học được xuất bản hoặc được sử dụng: lĩnh nhuận bút * trả nhuận bút",lĩnh nhuận bút * trả nhuận bút
nhu quyền,danh từ,"quyền thuật có các động tác mềm mại, nhẹ nhàng: luyện tập nhu quyền",luyện tập nhu quyền
nhục dục,danh từ,lòng ham muốn về quan hệ xác thịt: thú vui nhục dục * thoả mãn nhục dục,thú vui nhục dục * thoả mãn nhục dục
nhục hình,danh từ,hình phạt làm cho đau đớn về thể xác: dùng nhục hình tra tấn * chịu nhục hình,dùng nhục hình tra tấn * chịu nhục hình
nhục thể,danh từ,thể xác con người; phân biệt với tinh thần: chịu đau đớn về nhục thể,chịu đau đớn về nhục thể
nhuệ khí,danh từ,khí thế hăng hái: nhuệ khí chiến đấu * làm nhụt nhuệ khí,nhuệ khí chiến đấu * làm nhụt nhuệ khí
nhung lụa,danh từ,nhung và lụa; thường dùng để chỉ cuộc sống giàu sang: cuộc sống nhung lụa * lớn lên trong nhung lụa,cuộc sống nhung lụa * lớn lên trong nhung lụa
nhựa sống,danh từ,"nhựa nuôi cây; dùng để biểu trưng cho nguồn sinh lực, cho sức sống của con người: nguồn nhựa sống * cơ thể tràn trề nhựa sống",nguồn nhựa sống * cơ thể tràn trề nhựa sống
niềm tây,danh từ,"(cũ, văn chương) tâm tư, nỗi lòng riêng: ""Khóc than kể hết niềm tây, Chàng ôi, biết nỗi nước này cho chưa?"" (TKiều)","""Khóc than kể hết niềm tây, Chàng ôi, biết nỗi nước này cho chưa?"" (TKiều)"
niên giám,danh từ,"sách ghi những thông tin, sự kiện quan trọng trong từng năm của một ngành nào đó: niên giám thống kê * niên giám điện thoại",niên giám thống kê * niên giám điện thoại
niêm luật,danh từ,"quy tắc tương ứng về luật bằng trắc và các quy tắc khác trong thơ, phú cổ theo Đường luật (nói khái quát): bài thơ làm không đúng niêm luật * thơ tự do không cần niêm luật",bài thơ làm không đúng niêm luật * thơ tự do không cần niêm luật
niên đại,danh từ,"năm tháng, thời đại liên quan đến một sự kiện lịch sử: xác định niên đại của trống đồng * niên đại Hùng Vương",xác định niên đại của trống đồng * niên đại Hùng Vương
niên biểu,danh từ,bảng ghi các năm xảy ra những sự kiện lịch sử đáng chú ý: niên biểu lịch sử Việt Nam,niên biểu lịch sử Việt Nam
niên hiệu,danh từ,tên hiệu của vua đặt ra để tính năm trong thời gian mình trị vì: Nguyễn Huệ lấy niên hiệu là Quang Trung,Nguyễn Huệ lấy niên hiệu là Quang Trung
niên hạn,danh từ,"(hiếm) thời hạn quy định tính bằng số năm cho một công việc, một quyền hạn hay nghĩa vụ nào đó: niên hạn công tác * lương tính theo niên hạn",niên hạn công tác * lương tính theo niên hạn
niên hạn,danh từ,tuổi thọ (của một công trình): ngôi nhà đã hết niên hạn sử dụng,ngôi nhà đã hết niên hạn sử dụng
niên học,danh từ,(hiếm) năm học: kết thúc niên học * chuẩn bị cho niên học mới,kết thúc niên học * chuẩn bị cho niên học mới
niên khoá,danh từ,"khoá học, được tính từ năm bắt đầu cho đến năm kết thúc: sinh viên niên khoá 2006 - 2010",sinh viên niên khoá 2006 - 2010
niết bàn,danh từ,"thế giới tưởng tượng, nơi con người thoát khỏi vòng luân hồi và mọi sự đau khổ (cái đích của sự tu hành theo đạo Phật): cõi niết bàn",cõi niết bàn
nọc nạng,danh từ,"cọc có hai hoặc ba nhánh (hình giống cái chạc) được cắm xuống đất để chống, đỡ: cắm nọc nạng để đỡ giàn trầu",cắm nọc nạng để đỡ giàn trầu
nọc độc,danh từ,"chất độc ở một số loài vật; thường dùng để ví cái rất nguy hại về văn hoá, tinh thần: bị tiêm nhiễm nọc độc từ những văn hoá phẩm đồi truỵ",bị tiêm nhiễm nọc độc từ những văn hoá phẩm đồi truỵ
nòi giống,danh từ,như giống nòi: duy trì nòi giống,duy trì nòi giống
non nước,danh từ,"(văn chương) như nước non: non nước hữu tình * ""Tóc thề đã chấm ngang vai, Nào lời non nước, nào lời sắt son?"" (TKiều)","non nước hữu tình * ""Tóc thề đã chấm ngang vai, Nào lời non nước, nào lời sắt son?"" (TKiều)"
non sông,danh từ,(văn chương) núi và sông (nói khái quát); dùng để chỉ đất nước: non sông một dải,non sông một dải
nòng cột,danh từ,(hiếm) như nòng cốt: giữ vai trò nòng cột,giữ vai trò nòng cột
nòng cốt,danh từ,"bộ phận chủ yếu, làm trụ cột, làm chỗ dựa cho những bộ phận khác xung quanh nó: lực lượng nòng cốt * vai trò nòng cốt * nòng cốt câu",lực lượng nòng cốt * vai trò nòng cốt * nòng cốt câu
nội các,danh từ,"hội đồng chính phủ, theo cách gọi ở một số nước: nội các chính phủ * cải tổ nội các",nội các chính phủ * cải tổ nội các
nội chiến,danh từ,sự xung đột vũ trang giữa các miền hoặc các lực lượng xã hội bên trong một nước: cuộc nội chiến,cuộc nội chiến
nội biến,danh từ,"tình hình có biến bên trong một nước, một tổ chức: trong nước có nội biến * dẹp yên nội biến",trong nước có nội biến * dẹp yên nội biến
nội chính,danh từ,(cũ) việc chính trị trong một nước (nói khái quát): nội chính chưa an * việc nội chính của một nước,nội chính chưa an * việc nội chính của một nước
nội chính,danh từ,"lĩnh vực hoạt động của nhà nước, bao gồm việc quản lí trật tự trị an, quân sự, kinh tế, văn hoá: cơ quan nội chính",cơ quan nội chính
nội công,danh từ,thuật rèn luyện khả năng chịu đựng của các cơ quan bên trong thân thể; phân biệt với ngoại công: nội công thâm hậu * vận nội công,nội công thâm hậu * vận nội công
nồi chõ,danh từ,"nồi dùng để đồ xôi, gồm hai tầng, tầng dưới đựng nước, tầng trên đựng gạo có lỗ nhỏ ở đáy để hơi nước bốc lên làm chín gạo: bắc chõ thổi xôi",bắc chõ thổi xôi
